Dependency=ASHRAE IECC Climate Zone 2004 - 2A Split	Dependency=Heating Fuel	Dependency=Vintage	Option=Ducted Heat Pump	Option=Ducted Heating	Option=Non-Ducted Heat Pump	Option=Non-Ducted Heating	Option=None	source_count	source_weight	sampling_probability
1A	Other Fuel	<1940	0.000000	0.000000	0.000000	1.000000	0.000000	5	1780.37	7.01E-07
1A	Propane	<1940	0.000000	0.000000	0.000000	1.000000	0.000000	5	1780.37	3.12E-06
"2A - FL, GA, AL, MS"	Electricity	1940s	0.000000	0.000000	0.000000	1.000000	0.000000	21	146686	0.000948796
"2A - FL, GA, AL, MS"	Fuel Oil	1940s	0.000000	0.000000	0.000000	1.000000	0.000000	1	2556.23	5.00E-06
"2A - FL, GA, AL, MS"	Natural Gas	1940s	0.000000	0.000000	0.000000	1.000000	0.000000	1	2556.23	0.000148549
"2A - FL, GA, AL, MS"	None	1940s	0.000000	0.000000	0.000000	1.000000	0.000000	7	38327	2.07E-05
"2A - FL, GA, AL, MS"	Other Fuel	1940s	0.000000	0.000000	0.000000	1.000000	0.000000	1	2556.23	6.39E-06
"2A - FL, GA, AL, MS"	Propane	1940s	0.000000	0.000000	0.000000	1.000000	0.000000	1	2556.23	2.86E-05
"2A - FL, GA, AL, MS"	Electricity	1950s	0.000000	0.000000	0.000000	1.000000	0.000000	73	428894	0.00326575
"2A - FL, GA, AL, MS"	Fuel Oil	1950s	0.000000	0.000000	0.000000	1.000000	0.000000	13	35656.8	1.56E-05
"2A - FL, GA, AL, MS"	Natural Gas	1950s	0.000000	0.000000	0.000000	1.000000	0.000000	13	35656.8	0.000390554
"2A - FL, GA, AL, MS"	None	1950s	0.000000	0.000000	0.000000	1.000000	0.000000	15	82034.1	6.10E-05
"2A - FL, GA, AL, MS"	Other Fuel	1950s	0.000000	0.000000	0.000000	1.000000	0.000000	13	35656.8	1.83E-05
"2A - FL, GA, AL, MS"	Propane	1950s	0.000000	0.000000	0.000000	1.000000	0.000000	13	35656.8	6.42E-05
"2A - FL, GA, AL, MS"	Electricity	1960s	0.000000	0.000000	0.000000	1.000000	0.000000	86	505685	0.00432774
"2A - FL, GA, AL, MS"	Fuel Oil	1960s	0.000000	0.000000	0.000000	1.000000	0.000000	13	26385.9	1.63E-05
"2A - FL, GA, AL, MS"	Natural Gas	1960s	0.000000	0.000000	0.000000	1.000000	0.000000	13	26385.9	0.000482418
"2A - FL, GA, AL, MS"	None	1960s	0.000000	0.000000	0.000000	1.000000	0.000000	10	56716.5	7.06E-05
"2A - FL, GA, AL, MS"	Other Fuel	1960s	0.000000	0.000000	0.000000	1.000000	0.000000	13	26385.9	1.83E-05
"2A - FL, GA, AL, MS"	Propane	1960s	0.000000	0.000000	0.000000	1.000000	0.000000	13	26385.9	8.68E-05
"2A - FL, GA, AL, MS"	Electricity	1970s	0.000000	0.000000	0.000000	1.000000	0.000000	153	1.04E+06	0.00949196
"2A - FL, GA, AL, MS"	Fuel Oil	1970s	0.000000	0.000000	0.000000	1.000000	0.000000	19	37784.4	1.46E-05
"2A - FL, GA, AL, MS"	Natural Gas	1970s	0.000000	0.000000	0.000000	1.000000	0.000000	19	37784.4	0.000515461
"2A - FL, GA, AL, MS"	None	1970s	0.000000	0.000000	0.000000	1.000000	0.000000	19	119099	0.000126348
"2A - FL, GA, AL, MS"	Other Fuel	1970s	0.000000	0.000000	0.000000	1.000000	0.000000	19	37784.4	4.15E-05
"2A - FL, GA, AL, MS"	Propane	1970s	0.000000	0.000000	0.000000	1.000000	0.000000	19	37784.4	0.000118232
"2A - FL, GA, AL, MS"	Electricity	1980s	0.000000	0.000000	0.000000	1.000000	0.000000	181	1.15E+06	0.0119333
"2A - FL, GA, AL, MS"	Fuel Oil	1980s	0.000000	0.000000	0.000000	1.000000	0.000000	11	25275.3	1.27E-05
"2A - FL, GA, AL, MS"	Natural Gas	1980s	0.000000	0.000000	0.000000	1.000000	0.000000	11	25275.3	0.000480924
"2A - FL, GA, AL, MS"	None	1980s	0.000000	0.000000	0.000000	1.000000	0.000000	21	126636	0.000155018
"2A - FL, GA, AL, MS"	Other Fuel	1980s	0.000000	0.000000	0.000000	1.000000	0.000000	11	25275.3	4.44E-05
"2A - FL, GA, AL, MS"	Propane	1980s	0.000000	0.000000	0.000000	1.000000	0.000000	11	25275.3	0.000121305
"2A - FL, GA, AL, MS"	Electricity	1990s	0.000000	0.000000	0.000000	1.000000	0.000000	163	1.08E+06	0.0101132
"2A - FL, GA, AL, MS"	Fuel Oil	1990s	0.000000	0.000000	0.000000	1.000000	0.000000	12	27077.8	9.14E-06
"2A - FL, GA, AL, MS"	Natural Gas	1990s	0.000000	0.000000	0.000000	1.000000	0.000000	12	27077.8	0.000625902
"2A - FL, GA, AL, MS"	None	1990s	0.000000	0.000000	0.000000	1.000000	0.000000	13	70500.8	0.000120226
"2A - FL, GA, AL, MS"	Other Fuel	1990s	0.000000	0.000000	0.000000	1.000000	0.000000	12	27077.8	4.26E-05
"2A - FL, GA, AL, MS"	Propane	1990s	0.000000	0.000000	0.000000	1.000000	0.000000	12	27077.8	0.000115614
"2A - FL, GA, AL, MS"	Electricity	2000s	0.000000	0.000000	0.000000	1.000000	0.000000	168	495998	0.0117365
"2A - FL, GA, AL, MS"	Fuel Oil	2000s	0.000000	0.000000	0.000000	1.000000	0.000000	21	21769.1	8.16E-06
"2A - FL, GA, AL, MS"	Natural Gas	2000s	0.000000	0.000000	0.000000	1.000000	0.000000	21	21769.1	0.000893373
"2A - FL, GA, AL, MS"	None	2000s	0.000000	0.000000	0.000000	1.000000	0.000000	17	54228.9	0.000132201
"2A - FL, GA, AL, MS"	Other Fuel	2000s	0.000000	0.000000	0.000000	1.000000	0.000000	21	21769.1	3.37E-05
"2A - FL, GA, AL, MS"	Propane	2000s	0.000000	0.000000	0.000000	1.000000	0.000000	21	21769.1	0.000114437
"2A - FL, GA, AL, MS"	Electricity	2010s	0.000000	0.000000	0.000000	1.000000	0.000000	168	495998	0.00342367
"2A - FL, GA, AL, MS"	Fuel Oil	2010s	0.000000	0.000000	0.000000	1.000000	0.000000	21	21769.1	2.90E-06
"2A - FL, GA, AL, MS"	Natural Gas	2010s	0.000000	0.000000	0.000000	1.000000	0.000000	21	21769.1	0.000258093
"2A - FL, GA, AL, MS"	None	2010s	0.000000	0.000000	0.000000	1.000000	0.000000	17	54228.9	3.84E-05
"2A - FL, GA, AL, MS"	Other Fuel	2010s	0.000000	0.000000	0.000000	1.000000	0.000000	21	21769.1	1.57E-05
"2A - FL, GA, AL, MS"	Propane	2010s	0.000000	0.000000	0.000000	1.000000	0.000000	21	21769.1	4.59E-05
"2A - FL, GA, AL, MS"	Electricity	<1940	0.000000	0.000000	0.000000	1.000000	0.000000	23	132806	0.0011869
"2A - FL, GA, AL, MS"	Fuel Oil	<1940	0.000000	0.000000	0.000000	1.000000	0.000000	5	8110.56	3.42E-06
"2A - FL, GA, AL, MS"	Natural Gas	<1940	0.000000	0.000000	0.000000	1.000000	0.000000	5	8110.56	0.000205618
"2A - FL, GA, AL, MS"	None	<1940	0.000000	0.000000	0.000000	1.000000	0.000000	5	29083.5	2.66E-05
"2A - FL, GA, AL, MS"	Other Fuel	<1940	0.000000	0.000000	0.000000	1.000000	0.000000	5	8110.56	1.41E-05
"2A - FL, GA, AL, MS"	Propane	<1940	0.000000	0.000000	0.000000	1.000000	0.000000	5	8110.56	4.86E-05
"2A - TX, LA"	Electricity	1940s	0.000000	0.000000	0.000000	1.000000	0.000000	6	46501.3	0.000896344
"2A - TX, LA"	Fuel Oil	1940s	0.000000	0.000000	0.000000	1.000000	0.000000	22	53148.9	1.40E-06
"2A - TX, LA"	Natural Gas	1940s	0.000000	0.000000	0.000000	1.000000	0.000000	22	53148.9	0.000841088
"2A - TX, LA"	None	1940s	0.000000	0.000000	0.000000	1.000000	0.000000	1	7009.47	1.03E-05
"2A - TX, LA"	Other Fuel	1940s	0.000000	0.000000	0.000000	1.000000	0.000000	22	53148.9	9.73E-06
"2A - TX, LA"	Propane	1940s	0.000000	0.000000	0.000000	1.000000	0.000000	22	53148.9	5.37E-05
"2A - TX, LA"	Electricity	1950s	0.000000	0.000000	0.000000	1.000000	0.000000	22	217494	0.00188897
"2A - TX, LA"	Fuel Oil	1950s	0.000000	0.000000	0.000000	1.000000	0.000000	29	79553.3	1.95E-06
"2A - TX, LA"	Natural Gas	1950s	0.000000	0.000000	0.000000	1.000000	0.000000	29	79553.3	0.00198804
"2A - TX, LA"	None	1950s	0.000000	0.000000	0.000000	1.000000	0.000000	0	0	1.98E-05
"2A - TX, LA"	Other Fuel	1950s	0.000000	0.000000	0.000000	1.000000	0.000000	29	79553.3	1.59E-05
"2A - TX, LA"	Propane	1950s	0.000000	0.000000	0.000000	1.000000	0.000000	29	79553.3	8.70E-05
"2A - TX, LA"	Electricity	1960s	0.000000	0.000000	0.000000	1.000000	0.000000	33	283756	0.00271819
"2A - TX, LA"	Fuel Oil	1960s	0.000000	0.000000	0.000000	1.000000	0.000000	30	70112.6	3.34E-06
"2A - TX, LA"	Natural Gas	1960s	0.000000	0.000000	0.000000	1.000000	0.000000	30	70112.6	0.00216022
"2A - TX, LA"	None	1960s	0.000000	0.000000	0.000000	1.000000	0.000000	4	39271	2.24E-05
"2A - TX, LA"	Other Fuel	1960s	0.000000	0.000000	0.000000	1.000000	0.000000	30	70112.6	2.26E-05
"2A - TX, LA"	Propane	1960s	0.000000	0.000000	0.000000	1.000000	0.000000	30	70112.6	0.000122538
"2A - TX, LA"	Electricity	1970s	0.000000	0.000000	0.000000	1.000000	0.000000	68	583726	0.00597994
"2A - TX, LA"	Fuel Oil	1970s	0.000000	0.000000	0.000000	1.000000	0.000000	43	101184	6.19E-06
"2A - TX, LA"	Natural Gas	1970s	0.000000	0.000000	0.000000	1.000000	0.000000	43	101184	0.00253613
"2A - TX, LA"	None	1970s	0.000000	0.000000	0.000000	1.000000	0.000000	4	32266	4.22E-05
"2A - TX, LA"	Other Fuel	1970s	0.000000	0.000000	0.000000	1.000000	0.000000	43	101184	3.65E-05
"2A - TX, LA"	Propane	1970s	0.000000	0.000000	0.000000	1.000000	0.000000	43	101184	0.000184568
"2A - TX, LA"	Electricity	1980s	0.000000	0.000000	0.000000	1.000000	0.000000	68	648374	0.00610474
"2A - TX, LA"	Fuel Oil	1980s	0.000000	0.000000	0.000000	1.000000	0.000000	41	98125.4	5.09E-06
"2A - TX, LA"	Natural Gas	1980s	0.000000	0.000000	0.000000	1.000000	0.000000	41	98125.4	0.00206926
"2A - TX, LA"	None	1980s	0.000000	0.000000	0.000000	1.000000	0.000000	4	54063.6	4.19E-05
"2A - TX, LA"	Other Fuel	1980s	0.000000	0.000000	0.000000	1.000000	0.000000	41	98125.4	4.59E-05
"2A - TX, LA"	Propane	1980s	0.000000	0.000000	0.000000	1.000000	0.000000	41	98125.4	0.000217999
