Dependency=Location Region	Dependency=Vintage	Dependency=Geometry Wall Type	"Option=Wood Stud, Uninsulated"	"Option=Wood Stud, R-7"	"Option=Wood Stud, R-11"	"Option=Wood Stud, R-15"	"Option=Wood Stud, R-19"	"Option=CMU, 6-in Hollow, Uninsulated"	"Option=CMU, 6-in Hollow, R-7"	"Option=CMU, 6-in Hollow, R-11"	"Option=CMU, 6-in Hollow, R-15"	"Option=CMU, 6-in Hollow, R-19"	"Option=Brick, 12-in, 3-wythe, Uninsulated"	"Option=Brick, 12-in, 3-wythe, R-7"	"Option=Brick, 12-in, 3-wythe, R-11"	"Option=Brick, 12-in, 3-wythe, R-15"	"Option=Brick, 12-in, 3-wythe, R-19"	Option=Void	sampling_probability
CR04	1980s	Brick	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.75	0	0.00466802
CR06	1980s	Brick	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.75	0	1.03E-05
CR07	1980s	Brick	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.75	0	0.00172774
CR08	1980s	Brick	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.75	0	0.00091234
CR09	1980s	Brick	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.75	0	0.0163615
CR10	1980s	Brick	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.75	0	5.79E-05
CR11	1980s	Brick	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.75	0	8.32E-05
CR02	1990s	Brick	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.000192581
CR05	1990s	Brick	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	7.20E-05
CR03	1990s	Brick	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4.82E-05
CR04	1990s	Brick	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.00626926
CR06	1990s	Brick	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1.30E-05
CR07	1990s	Brick	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.00149769
CR08	1990s	Brick	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.000990263
CR09	1990s	Brick	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.0141941
CR10	1990s	Brick	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	6.33E-05
CR11	1990s	Brick	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4.94E-05
CR02	2000s	Brick	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0.000181779
CR05	2000s	Brick	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	7.10E-05
CR03	2000s	Brick	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	5.36E-05
CR04	2000s	Brick	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0.00525768
CR06	2000s	Brick	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	2.28E-05
CR07	2000s	Brick	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0.00138132
CR08	2000s	Brick	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0.000974518
CR09	2000s	Brick	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0.0184167
CR10	2000s	Brick	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	4.11E-05
CR11	2000s	Brick	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	3.72E-05
CR02	1940s	Brick	0	0	0	0	0	0	0	0	0	0	0.31	0.17	0.31	0.14	0.07	0	0.000139579
CR05	1940s	Brick	0	0	0	0	0	0	0	0	0	0	0.31	0.17	0.31	0.14	0.07	0	0.000101483
CR03	1940s	Brick	0	0	0	0	0	0	0	0	0	0	0.31	0.17	0.31	0.14	0.07	0	0.00010027
CR04	1940s	Brick	0	0	0	0	0	0	0	0	0	0	0.31	0.17	0.31	0.14	0.07	0	0.00400396
CR06	1940s	Brick	0	0	0	0	0	0	0	0	0	0	0.31	0.17	0.31	0.14	0.07	0	6.85E-05
CR07	1940s	Brick	0	0	0	0	0	0	0	0	0	0	0.31	0.17	0.31	0.14	0.07	0	0.00404241
CR08	1940s	Brick	0	0	0	0	0	0	0	0	0	0	0.31	0.17	0.31	0.14	0.07	0	0.00103587
CR09	1940s	Brick	0	0	0	0	0	0	0	0	0	0	0.31	0.17	0.31	0.14	0.07	0	0.00213092
CR10	1940s	Brick	0	0	0	0	0	0	0	0	0	0	0.31	0.17	0.31	0.14	0.07	0	0.000108823
CR11	1940s	Brick	0	0	0	0	0	0	0	0	0	0	0.31	0.17	0.31	0.14	0.07	0	0.000145999
CR02	2010s	Brick	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.75	0	5.87E-05
CR05	2010s	Brick	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.75	0	2.35E-05
CR03	2010s	Brick	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.75	0	2.22E-05
CR04	2010s	Brick	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.75	0	0.00167077
CR06	2010s	Brick	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.75	0	1.98E-06
CR07	2010s	Brick	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.75	0	0.000839539
CR08	2010s	Brick	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.75	0	0.000468791
CR09	2010s	Brick	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.75	0	0.0073705
CR10	2010s	Brick	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.75	0	6.51E-06
CR11	2010s	Brick	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.75	0	1.34E-05
CR02	<1940	Concrete	0	0	0	0	0	0.31	0.17	0.31	0.14	0.07	0	0	0	0	0	0	0.000137882
CR05	<1940	Concrete	0	0	0	0	0	0.31	0.17	0.31	0.14	0.07	0	0	0	0	0	0	5.17E-06
CR03	<1940	Concrete	0	0	0	0	0	0.31	0.17	0.31	0.14	0.07	0	0	0	0	0	0	0.00135775
CR04	<1940	Concrete	0	0	0	0	0	0.31	0.17	0.31	0.14	0.07	0	0	0	0	0	0	0.000141358
CR06	<1940	Concrete	0	0	0	0	0	0.31	0.17	0.31	0.14	0.07	0	0	0	0	0	0	1.95E-05
CR07	<1940	Concrete	0	0	0	0	0	0.31	0.17	0.31	0.14	0.07	0	0	0	0	0	0	0.000207399
CR08	<1940	Concrete	0	0	0	0	0	0.31	0.17	0.31	0.14	0.07	0	0	0	0	0	0	0.000140587
CR09	<1940	Concrete	0	0	0	0	0	0.31	0.17	0.31	0.14	0.07	0	0	0	0	0	0	0.000242062
CR10	<1940	Concrete	0	0	0	0	0	0.31	0.17	0.31	0.14	0.07	0	0	0	0	0	0	7.34E-05
CR11	<1940	Concrete	0	0	0	0	0	0.31	0.17	0.31	0.14	0.07	0	0	0	0	0	0	5.30E-05
CR02	1950s	Concrete	0	0	0	0	0	0.090909091	0.323232323	0.454545455	0.131313131	0	0	0	0	0	0	0	4.88E-05
CR05	1950s	Concrete	0	0	0	0	0	0.090909091	0.323232323	0.454545455	0.131313131	0	0	0	0	0	0	0	5.78E-06
CR03	1950s	Concrete	0	0	0	0	0	0.090909091	0.323232323	0.454545455	0.131313131	0	0	0	0	0	0	0	0.00116467
